poblacion,generaciones_config,semilla,generacion,min_fitness,avg_fitness
20,60,3,44,629.0,675.175
20,60,3,45,629.0,665.175
20,60,3,46,629.0,673.75
20,60,3,47,629.0,634.225
20,60,3,48,629.0,646.7
20,60,3,49,629.0,690.1
20,60,3,50,629.0,638.25
20,60,3,51,629.0,694.475
20,60,3,52,629.0,676.3
20,60,3,53,629.0,691.325
20,60,3,54,629.0,652.775
20,60,3,55,629.0,676.975
20,60,3,56,629.0,649.175
20,60,3,57,629.0,694.175
20,60,3,58,629.0,663.275
20,60,3,59,629.0,634.275
20,60,3,60,629.0,725.3
20,60,4,0,1846.5,2555.0
20,60,4,1,1196.5,2139.325
20,60,4,2,1196.5,1809.4
20,60,4,3,1069.5,1434.1
20,60,4,4,974.0,1213.975
20,60,4,5,974.0,1143.4
20,60,4,6,970.0,1089.75
20,60,4,7,904.0,995.3
20,60,4,8,904.0,1013.975
20,60,4,9,889.0,956.125
20,60,4,10,889.0,972.075
20,60,4,11,889.0,921.8
20,60,4,12,889.0,951.9
20,60,4,13,888.0,938.95
20,60,4,14,880.5,909.575
20,60,4,15,880.5,887.725
20,60,4,16,792.5,1022.55
20,60,4,17,784.5,882.775
20,60,4,18,784.5,863.625
20,60,4,19,784.5,816.45
20,60,4,20,784.5,827.275
20,60,4,21,784.5,816.375
20,60,4,22,779.5,842.975
20,60,4,23,779.5,791.975
20,60,4,24,779.5,803.6
20,60,4,25,774.0,799.35
20,60,4,26,774.0,794.2
20,60,4,27,774.0,776.75
20,60,4,28,774.0,818.475
20,60,4,29,768.5,812.575
20,60,4,30,768.5,945.525
20,60,4,31,768.5,810.025
20,60,4,32,768.5,780.875
20,60,4,33,759.5,775.575
20,60,4,34,759.5,816.15
20,60,4,35,759.5,793.7
20,60,4,36,748.5,797.25
20,60,4,37,748.5,807.575
20,60,4,38,748.5,822.95
20,60,4,39,748.5,770.375
20,60,4,40,748.5,768.575
20,60,4,41,748.5,759.925
20,60,4,42,748.5,797.025
20,60,4,43,659.5,744.05
20,60,4,44,659.5,769.45
20,60,4,45,659.5,763.675
20,60,4,46,659.5,720.55
20,60,4,47,645.0,732.4
20,60,4,48,645.0,662.025
20,60,4,49,645.0,714.7
20,60,4,50,645.0,673.575
20,60,4,51,645.0,693.575
20,60,4,52,645.0,680.375
20,60,4,53,645.0,685.725
20,60,4,54,645.0,667.525
20,60,4,55,645.0,716.825
20,60,4,56,645.0,659.9
20,60,4,57,645.0,645.0
20,60,4,58,645.0,662.225
20,60,4,59,645.0,645.575
20,60,4,60,645.0,744.95
20,60,5,0,1643.0,2296.775
20,60,5,1,1629.0,1956.225
20,60,5,2,1348.0,1934.55
20,60,5,3,1312.5,1738.25
20,60,5,4,1312.5,1453.6
20,60,5,5,1128.0,1372.2
20,60,5,6,1128.0,1335.0
20,60,5,7,1017.5,1255.55
20,60,5,8,932.0,1197.1
20,60,5,9,932.0,1098.925
20,60,5,10,921.5,1039.275
20,60,5,11,856.0,994.0
20,60,5,12,827.5,943.475
20,60,5,13,827.5,951.725
20,60,5,14,827.5,910.1
20,60,5,15,827.5,857.4
20,60,5,16,827.5,934.325
20,60,5,17,827.5,852.65
20,60,5,18,827.5,868.55
20,60,5,19,827.5,948.575
20,60,5,20,827.5,884.275
20,60,5,21,731.5,834.15
20,60,5,22,731.5,887.575
20,60,5,23,731.5,806.6
20,60,5,24,731.5,743.025
20,60,5,25,731.5,742.65
20,60,5,26,731.5,756.575
20,60,5,27,731.0,736.2
20,60,5,28,731.0,764.225
20,60,5,29,731.0,761.55
20,60,5,30,730.0,762.725
20,60,5,31,730.0,746.05
20,60,5,32,723.0,732.5
20,60,5,33,723.0,765.925
20,60,5,34,722.5,787.0
20,60,5,35,722.5,779.4
20,60,5,36,649.5,742.475
20,60,5,37,649.5,760.075
20,60,5,38,642.5,768.925
20,60,5,39,642.5,722.425
20,60,5,40,642.5,695.025
20,60,5,41,642.5,695.75
20,60,5,42,642.5,673.625
20,60,5,43,642.5,674.575
20,60,5,44,642.5,719.125
20,60,5,45,642.5,665.825
20,60,5,46,642.5,657.075
20,60,5,47,642.5,674.225
20,60,5,48,642.5,737.775
20,60,5,49,642.5,723.5
20,60,5,50,642.5,662.125
20,60,5,51,637.0,662.225
20,60,5,52,637.0,652.25
20,60,5,53,637.0,645.05
20,60,5,54,637.0,639.65
20,60,5,55,637.0,656.7
20,60,5,56,637.0,694.425
20,60,5,57,637.0,676.0
20,60,5,58,637.0,662.1
20,60,5,59,637.0,738.4
20,60,5,60,637.0,704.725
20,60,6,0,1915.0,2818.275
20,60,6,1,1573.5,2172.95
20,60,6,2,1573.5,2052.1
20,60,6,3,1355.0,2003.075
20,60,6,4,1355.0,1865.625
20,60,6,5,1273.0,1715.05
20,60,6,6,1273.0,1644.125
20,60,6,7,1273.0,1496.175
20,60,6,8,1247.0,1339.675
20,60,6,9,1150.0,1540.125
20,60,6,10,1033.0,1376.175
20,60,6,11,1033.0,1288.7
20,60,6,12,1033.0,1247.8
20,60,6,13,1033.0,1351.375
20,60,6,14,1020.5,1248.675
20,60,6,15,932.0,1077.525
20,60,6,16,932.0,1086.55
20,60,6,17,932.0,1092.875
20,60,6,18,861.5,950.225
20,60,6,19,836.0,1010.025
20,60,6,20,836.0,928.375
20,60,6,21,760.5,883.075
20,60,6,22,760.5,872.0
20,60,6,23,751.0,791.45
20,60,6,24,751.0,767.1
20,60,6,25,751.0,777.75
20,60,6,26,751.0,822.825
20,60,6,27,751.0,823.0
20,60,6,28,751.0,796.2
20,60,6,29,750.0,756.375
20,60,6,30,750.0,821.45
20,60,6,31,750.0,751.3
20,60,6,32,736.0,764.3
20,60,6,33,736.0,747.9
20,60,6,34,736.0,780.425
20,60,6,35,736.0,787.975
20,60,6,36,736.0,737.725
20,60,6,37,736.0,772.125
20,60,6,38,735.5,763.575
20,60,6,39,653.5,763.725
20,60,6,40,653.5,744.75
20,60,6,41,653.5,747.7
20,60,6,42,639.0,717.375
20,60,6,43,639.0,686.65
20,60,6,44,639.0,689.675
20,60,6,45,639.0,679.7
20,60,6,46,639.0,691.675
20,60,6,47,639.0,679.875
20,60,6,48,639.0,645.95
20,60,6,49,639.0,660.9
20,60,6,50,639.0,639.0
20,60,6,51,639.0,659.2
20,60,6,52,639.0,656.45
20,60,6,53,639.0,660.1
20,60,6,54,638.5,653.075
20,60,6,55,638.5,690.075
20,60,6,56,638.5,689.925
20,60,6,57,638.5,702.025
20,60,6,58,638.5,668.725
20,60,6,59,638.5,689.3
20,60,6,60,638.5,690.6
20,60,7,0,1555.0,2565.125
20,60,7,1,1424.0,2016.475
20,60,7,2,1342.5,1652.325
20,60,7,3,1284.5,1526.5
20,60,7,4,1284.5,1565.225
20,60,7,5,1153.5,1531.6
20,60,7,6,1153.5,1390.225
20,60,7,7,1153.5,1375.975
20,60,7,8,1148.5,1223.525
20,60,7,9,1148.5,1218.525
20,60,7,10,1068.5,1184.925
20,60,7,11,1063.0,1160.225
20,60,7,12,999.0,1138.425
20,60,7,13,972.5,1061.975
20,60,7,14,887.5,1037.175
20,60,7,15,887.5,1019.025
20,60,7,16,887.5,1017.65
20,60,7,17,887.5,1022.4
20,60,7,18,887.5,935.125
20,60,7,19,887.5,944.125
20,60,7,20,887.5,903.475
20,60,7,21,887.5,891.75
20,60,7,22,887.5,921.15
20,60,7,23,887.5,952.3
20,60,7,24,887.5,888.225
20,60,7,25,878.5,891.6
20,60,7,26,877.0,890.125
20,60,7,27,873.5,951.775
20,60,7,28,873.5,885.775
20,60,7,29,863.0,887.5
20,60,7,30,863.0,886.775
20,60,7,31,854.0,867.3
20,60,7,32,854.0,895.175
20,60,7,33,854.0,871.7
20,60,7,34,854.0,904.225
20,60,7,35,854.0,859.25
20,60,7,36,854.0,905.025
20,60,7,37,854.0,946.95
20,60,7,38,764.0,867.25
20,60,7,39,764.0,907.25
20,60,7,40,684.0,857.225
20,60,7,41,684.0,781.8
20,60,7,42,673.0,737.05
20,60,7,43,673.0,705.975
20,60,7,44,673.0,717.775
20,60,7,45,673.0,719.85
20,60,7,46,673.0,708.65
20,60,7,47,673.0,732.375
20,60,7,48,673.0,673.725
20,60,7,49,673.0,727.925
20,60,7,50,673.0,709.3
20,60,7,51,673.0,707.3
20,60,7,52,673.0,739.0
20,60,7,53,673.0,699.85
20,60,7,54,673.0,689.475
20,60,7,55,673.0,704.475
20,60,7,56,673.0,736.55
20,60,7,57,673.0,673.0
20,60,7,58,673.0,688.675
20,60,7,59,673.0,694.35
20,60,7,60,658.0,748.6
20,60,8,0,1163.0,2684.2
20,60,8,1,1163.0,2155.8
20,60,8,2,1149.5,1638.625
20,60,8,3,1149.5,1397.475
20,60,8,4,1052.5,1254.5
20,60,8,5,1051.5,1169.0
20,60,8,6,960.5,1131.225
20,60,8,7,876.5,1127.75
20,60,8,8,876.5,1007.3
20,60,8,9,868.5,991.075
20,60,8,10,868.5,968.025
20,60,8,11,868.5,908.05
20,60,8,12,868.5,942.65
20,60,8,13,868.5,940.575
20,60,8,14,868.5,899.275
20,60,8,15,868.5,884.85
20,60,8,16,868.5,868.5
20,60,8,17,868.5,916.8
20,60,8,18,868.5,874.6
20,60,8,19,783.5,889.875
20,60,8,20,783.5,932.125
20,60,8,21,783.5,895.9
20,60,8,22,783.5,819.225
20,60,8,23,783.5,822.85
20,60,8,24,783.5,848.15
20,60,8,25,783.5,812.8
20,60,8,26,783.5,803.325
20,60,8,27,783.5,810.275
20,60,8,28,783.5,818.625
20,60,8,29,783.5,833.775
20,60,8,30,783.5,820.55
20,60,8,31,783.5,807.85
20,60,8,32,783.5,825.225
20,60,8,33,774.5,783.725
20,60,8,34,774.5,815.375
20,60,8,35,774.5,846.35
20,60,8,36,769.0,847.075
20,60,8,37,769.0,806.025
20,60,8,38,769.0,802.65
20,60,8,39,769.0,815.125
20,60,8,40,769.0,793.325
20,60,8,41,769.0,780.9
